5F20,Cardholder Name,Indicates cardholder name according to ISO 7813
5F21,"Track 1, identical to the data coded",
5F22,"Track 2, identical to the data coded",
5F23,"Track 3, identical to the data coded",
5F24,Application Expiration Date,"Date after which application expires. The date is expressed in the YYMMDD format. For MasterCard applications, if the value of YY ranges from '00' to '49' the date reads 20YYMMDD. If the value of YY ranges from '50' to '99' the date reads 19YYMMDD."
5F24,Application Expiration Date,"Date after which the card application expires. For transactions where Offline Data Authentication is performed, the Application Expiration Date is returned. For transactions where Offline Data Authentication is not performed, the Application Expiration Date does not need to be returned."
5F24,Application Expiration Date,Date after which the card application expires.
5F24,Application Expiration Date,Date after which application expires. It shall be present for EMV Mode and Legacy Mode.
5F25,Application Effective Date,"Date from which the application may be used. The date is expressed in the YYMMDD format. For MasterCard branded applications if the value of YY ranges from '00' to '49' the date reads 20YYMMDD. If the value of YY ranges from '50' to '99', the date reads 19YYMMDD."
5F25,Application Effective Date,Date from which the application may be used. The date is expressed in the YYMMDD format.
5F25,Application Effective Date,Date from which the application may be used. The date is expressed in the YYMMDD format.
5F26,"Date, Card Effective",
5F27,Interchange control,
5F28,Issuer Country Code,Indicates the country of the issuer according to ISO 3166-1
5F28,Issuer Country Code,Indicates the country of the issuer according to ISO 3166-1
5F28,Issuer Country Code,Indicates the country of the issuer according to ISO 3166-1
5F28,Issuer Country Code,Indicates the country of the issuer according to ISO 3166-1
5F29,Interchange profile,
5F2A,Transaction Currency Code,Indicates the currency code of the transaction according to ISO 4217
5F2A,Transaction Currency Code,Indicates the currency code of the transaction according to ISO 4217
5F2A,Transaction Currency Code,Indicates the currency code of the transaction according to [ISO 4217]. The implied exponent is indicated by the minor unit of currency associated with the Transaction Currency Code in [ISO 4217].
5F2A,Transaction Currency Code,Indicates the currency code of the transaction according to [ISO 4217]
5F2A,Transaction Currency Code,Indicates the currency code of the transaction according to ISO 4217. Requested in CDOL1.
5F2B,Date of birth,
5F2C,Cardholder nationality,
5F2D,Language Preference,"1-4 languages stored in order of preference, each represented by 2 alphabetical characters according to ISO 639"
,,"Note: EMVCo strongly recommends that cards be personalised with data element '5F2D' coded in lowercase, but that terminals accept the data element whether it is coded in upper or lower case."
5F2D,Language Preference,"1-4 languages stored in order of preference, each represented by 2 lower case alphabetical characters according to ISO 639-1."
5F2D,Language Preference,"1-4 languages stored in order of preference, each represented by 2 lower case alphabetical characters according to ISO 639-1."
5F2E,Cardholder biometric data,
5F2F,PIN usage policy,
5F30,Service Code,Service code as defined in ISO/IEC 7813 for Track 1 and Track 2
5F30,Service Code,Contains the Service Code elements.
5F32,Transaction counter,
5F33,"Date, Transaction",
5F34,Application Primary Account Number (PAN) Sequence Number (PSN),Identifies and differentiates cards with the same Application PAN
5F34,Application Primary Account Number (PAN) Sequence Number (PSN),Identifies and differentiates cards with the same PAN
5F34,Application Primary Account Number (PAN) Sequence Number (PSN),Identifies and differentiates cards with the same PAN
5F34,Application Primary Account Number (PAN) Sequence Number (PSN),Identifies and differentiates cards (applications) with the same PAN
5F34,Application Primary Account Number (PAN) Sequence Number (PSN),Identifies and differentiates cards (applications) with the same PAN
5F35,Sex (ISO 5218),"Representation of human sexes through a language-neutral single-digit code (0 = not known, 1 = male, 2 = female, 9 = not applicable)"
5F36,Transaction Currency Exponent,Identifies the decimal point position from the right of the transaction amount accordin to ISO 4217
5F36,Transaction Currency Exponent,Indicates the implied position of the decimal point from the right of the transaction amount represented according to ISO 4217. Required to determine if Status Check is requested.
5F37,Static internal authentication (one-step),
5F38,Static internal authentication - first associated data,
5F39,Static internal authentication - second associated data,
5F3A,Dynamic internal authentication,
5F3B,Dynamic external authentication,
5F3C,Transaction Reference Currency Code,Identifies the common currency used by the terminal
5F3C,Dynamic mutual authentication,
5F3D,Transaction Reference Currency Exponent,Identifies the decimal point position from the right of the terminal common currency
5F40,Cardholder portrait image,
5F41,Element list,
5F42,Address,
5F43,Cardholder handwritten signature image,
5F44,Application image,
5F45,Display message,
5F46,Timer,
5F47,Message reference,
5F48,Cardholder private key,
5F49,Cardholder public key,
5F4A,Public key of certification authority,
5F4B,Deprecated (see note 2 below),
5F4C,Certificate holder authorization,
5F4D,Integrated circuit manufacturer identifier,
5F4E,Certificate content,
5F50,Issuer Uniform resource locator (URL),The URL provides the location of the Issuer's Library Server on the Internet.
5F53,International Bank Account Number (IBAN),Uniquely identifies the account of a customer at a financial institution as defined in ISO 13616.
5F54,Bank Identifier Code (BIC),Uniquely identifies a bank as defined in ISO 9362.
5F55,Issuer Country Code (alpha2 format),Indicates the country of the issuer as defined in ISO 3166 (using a 2 character alphabetic code)
5F56,Issuer Country Code (alpha3 format),Indicates the country of the issuer as defined in ISO 3166 (using a 3 character alphabetic code)
5F57,Account Type,"Indicates the type of account selected on the terminal, coded as specified in Annex G"
60,"Template, Dynamic Authentication",
6080,"Commitment (e.g., a positive number less than the public RSA modulus in use)",
6081,"Challenge (e.g., a number, possibly zero, less than the public RSA exponent in use)",
6082,"Response (e.g., a positive number less than the public RSA modulus in use)",
6083,"Committed challenge (e.g., the hash-code of a commitment data object)",
6084,"Authentication code (e.g., the hash-code of one or more data fields and a commitment data object)",
6085,"Exponential (e.g., a public positive number for establishing a session key by a DH method)",
60A0,"Template, Identification data",
,,
61,Application Template,Template containing one or more data objects relevant to an application directory entry according to [ISO 7816-5].
61,Directory Entry,Contains one or more data objects relevant to an application directory entry according to [ISO 7816-5].
62,File Control Parameters (FCP) Template,Identifies the FCP template according to ISO/IEC 7816-4
6280,"Number of data bytes in the file, excluding structural information",
6281,"Number of data bytes in the file, including structural information if any",
6282,File descriptor byte,
6283,File identifier,
6284,DF name,
6285,"Proprietary information, primitive encoding (i.e., not coded in BER-TLV)",
6286,Security attribute in proprietary format,
6287,Identifier of an EF containing an extension of the file control information,
6288,Short EF identifier,
628A,Life cycle status byte (LCS),
628B,Security attribute referencing the expanded format,
628C,Security attribute in compact format,
628D,Identifier of an EF containing security environment templates,
62A0,"Template, Security attribute for data objects",
62A1,"Template, Security attribute for physical interfaces",
62A2,"One or more pairs of data objects, short EF identifier (tag 88) - absolute or relative path (tag 51)",
62A5,"Proprietary information, constructed encoding",
62AB,Security attribute in expanded format,
62AC,Identifier of a cryptographic mechanism,
63,Wrapper,
64,"Template, File Management Data (FMD)",
65,Cardholder related data,
66,"Template, Card data",
67,"Template, Authentication data",
68,Special user requirements,
6A,"Template, Login",
6A80,Qualifier,
6A81,Telephone Number,
6A82,Text,
6A83,"Delay indicators, for detecting an end of message",
6A84,"Delay indicators, for detecting an absence of response",
6B,"Template, Qualified name",
6B06,Qualified name,
6B80,Name,
6BA0,Name,
6C,"Template, Cardholder image",
6D,"Template, Application image",
6E,Application related data,
6F,File Control Information (FCI) Template,Identifies the FCI template according to ISO/IEC 7816-4
6F,File Control Information (FCI) Template,Identifies the FCI template according to ISO/IEC 7816-4
6F,File Control Information (FCI) Template,Identifies the FCI template according to ISO/IEC 7816-4
6F,"Template, File Control Parameters and File Management Data (FCI)",
6FA5,"Template, FCI A5",
70,READ RECORD Response Message Template,"Template containing the data objects returned by the Card in response to a READ RECORD command. Contains the contents of the record read. (Mandatory for SFIs 1-10. Response messages for SFIs 11-30 are outside the scope of EMV, but may use template '70')"
70,READ RECORD Response Message Template,"Contains the contents of the record read. (Mandatory for SFIs 1-10. Response messages for SFIs 11-30 are outside the scope of EMV, but may use template '70')"
70,"Template, AEF Data",
71,Issuer Script Template 1,Contains proprietary issuer data for transmission to the ICC before the second GENERATE AC command
71,Issuer Script Template 1,Contains proprietary issuer data for transmission to the ICC before the second GENERATE AC command
71,"Template, Issuer Script 1",
7186,Issuer Script Command,
719F18,Issuer Script Identifier,
72,Issuer Script Template 2,Contains proprietary issuer data for transmission to the ICC after the second GENERATE AC command
72,Issuer Script Template 2,Contains proprietary issuer data for transmission to the ICC after the second GENERATE AC command
72,"Template, Issuer Script 2",
73,Directory Discretionary Template,Issuer discretionary part of the directory according to ISO/IEC 7816-5
77,Response Message Template Format 2,Contains the data objects (with tags and lengths) returned by the ICC in response to a command
77,Response Message Template Format 2,Contains the data objects (with tags and lengths) returned by the card in response to a command.
77,Response Message Template Format 2,Contains the data objects (with tags and lengths) returned by the ICC in response to a command
77,"Template, Response Message Format 2",
78,Compatible Tag Allocation Authority,
79,Coexistent Tag Allocation Authority,
7A,"Template, Security Support (SS)",see 6.4
7A80,Card session counter,
7A81,Session identifier,
7A82,File selection counter,
7A83,File selection counter,
7A84,File selection counter,
7A85,File selection counter,
7A86,File selection counter,
7A87,File selection counter,
7A88,File selection counter,
7A89,File selection counter,
7A8A,File selection counter,
7A8B,File selection counter,
7A8C,File selection counter,
7A8D,File selection counter,
7A8E,File selection counter,
7A93,Digital signature counter,
7A9F2X,"Internal progression value ('X'-is a specific index, e.g., an index referencing a counter of file selections)",
7A9F3Y,"External progression value ('Y'-is a specific index, e.g., an index referencing an external time stamp)",
7B,"Template, Security Environment (SE)",see 6.5
7B80,"SEID byte, mandatory",
7B8A,"LCS byte, optional",
7BAC,"Cryptographic mechanism identifier template, optional",
7BA4,Control reference template (CRT),see 6.3.1
7BAA,Control reference template (CRT),see 6.3.1
7BB4,Control reference template (CRT),see 6.3.1
7BB6,Control reference template (CRT),see 6.3.1
7BB8,Control reference template (CRT),see 6.3.1
7D,"Template, Secure Messaging (SM)",see 6
7D80,Plain value not coded in BER-TLV,
7D81,Plain value not coded in BER-TLV,
7D82,Cryptogram (plain value coded in BER-TLV and including secure messaging data objects),
7D83,Cryptogram (plain value coded in BER-TLV and including secure messaging data objects),
7D84,"Cryptogram (plain value coded in BER-TLV, but not including secure messaging data objects)",
7D85,"Cryptogram (plain value coded in BER-TLV, but not including secure messaging data objects)",
7D86,Padding-content indicator byte followed by cryptogram (plain value not coded in BER-TLV),
7D87,Padding-content indicator byte followed by cryptogram (plain value not coded in BER-TLV),
7D8E,Cryptographic checksum (at least four bytes),
7D90,Hash-code,
7D91,Hash-code,
7D92,Certificate (not BER-TLV coded data),
7D93,Certificate (not BER-TLV coded data),
7D94,"Security environment identifier (SEID byte, see 6.5)",
7D95,"Security environment identifier (SEID byte, see 6.5)",
7D96,Number Le in the unsecured command APDU (one or two bytes),
7D97,Number Le in the unsecured command APDU (one or two bytes),
7D99,"Processing status of the secured response APDU (new SW1-SW2, two bytes)",
7D9A,Input data element for the computation of a digital signature (the value field is signed),
7D9B,Input data element for the computation of a digital signature (the value field is signed),
7D9C,Public key,
7D9D,Public key,
7D9E,Digital signature,
7DA0,Input template for the computation of a hash-code (the template is hashed),
7DA1,Input template for the computation of a hash-code (the template is hashed),
7DA2,Input template for the verification of a cryptographic checksum (the template is integrated),
7DA4,Control reference template for authentication (AT),
7DA5,Control reference template for authentication (AT),
7DA8,Input template for the verification of a digital signature (the template is signed),
7DAA,"Template, Control reference for hash-code (HT)",
7DAB,"Template, Control reference for hash-code (HT)",
7DAC,Input template for the computation of a digital signature (the concatenated value fields are signed),
7DAD,Input template for the computation of a digital signature (the concatenated value fields are signed),
7DAE,Input template for the computation of a certificate (the concatenated value fields are certified),
7DAF,Input template for the computation of a certificate (the concatenated value fields are certified),
7DB0,Plain value coded in BER-TLV and including secure messaging data objects,
7DB1,Plain value coded in BER-TLV and including secure messaging data objects,
7DB2,"Plain value coded in BER-TLV, but not including secure messaging data objects",
7DB3,"Plain value coded in BER-TLV, but not including secure messaging data objects",
7DB4,Control reference template for cryptographic checksum (CCT),
7DB5,Control reference template for cryptographic checksum (CCT),
7DB6,Control reference template for digital signature (DST),
7DB7,Control reference template for digital signature (DST),
7DB8,Control reference template for confidentiality (CT),
7DB9,Control reference template for confidentiality (CT),
7DBA,Response descriptor template,
7DBB,Response descriptor template,
7DBC,Input template for the computation of a digital signature (the template is signed),
7DBD,Input template for the computation of a digital signature (the template is signed),
7DBE,Input template for the verification of a certificate (the template is certified),
7E,"Template, Nesting Interindustry data objects",
7F20,Display control template,
7F21,Cardholder certificate,
7F2E,Biometric data template,
7F49,"Template, Cardholder public key",
7F4980,Algorithm reference as used in control reference data objects for secure messaging,
7F4981,"RSA Modulus (a number denoted as n coded on x bytes), or DSA First prime (a number denoted as p coded on y bytes), or ECDSA Prime (a number denoted as p coded on z bytes)",
7F4982,"RSA Public exponent (a number denoted as v, e.g., 65537), or DSA Second prime (a number denoted as q dividing p-1, e.g., 20 bytes), or ECDSA First coefficient (a number denoted as a coded on z bytes)",
7F4983,"DSA Basis (a number denoted as g of order q coded on y bytes), or ECDSA Second coefficient (a number denoted as b coded on z bytes)",
7F4984,"DSA Public key (a number denoted as y equal to g to the power x mod p where x is the private key coded on y bytes), or ECDSA Generator (a point denoted as PB on the curve, coded on 2z bytes)",
7F4985,"ECDSA Order (a prime number denoted as q, order of the generator PB, coded on z bytes)",
7F4986,"ECDSA Public key (a point denoted as PP on the curve, equal to x times PB where x is the private key, coded on 2z bytes)",
7F4C,"Template, Certificate Holder Authorization",
7F4E,Certificate Body,
7F4E42,Certificate Authority Reference,
7F4E5F20,Certificate Holder Reference,
7F4E5F24,"Expiration Date, Certificate",
7F4E5F25,"Effective Date, Certificate",
7F4E5F29,Certificate Profile Identifier,
7F4E65,Certificate Extensions,
7F60,"Template, Biometric information",
80,Response Message Template Format 1,Contains the data objects (without tags and lengths) returned by the ICC in response to a command
80,Response Message Template Format 1,Contains the data objects (without tags and lengths) returned by the card in response to a command.
80,Response Message Template Format 1,Contains the data objects (without tags and lengths) returned by the ICC in response to a command
80,Response Message Template Format 1,Contains the data objects (without tags and lengths) returned by the ICC in response to a command
81,"Amount, Authorised (Binary)",Authorised amount of the transaction (excluding adjustments)
82,Application Interchange Profile (AIP),Indicates the capabilities of the card to support specific functions in the application
82,Application Interchange Profile (AIP),Indicates the capabilities of the card to support specific functions in the application
82,Application Interchange Profile (AIP),Indicates the capabilities of the card to support specific functions in the application. Kernel 3 shall not act on AIP bit settings that are not supported for Kernel 3 or that are Reserved for Future Use (RFU).
82,Application Interchange Profile (AIP),Indicates the capabilities of the card to support specific functions in the application.
82,Application Interchange Profile (AIP),Indicates the capabilities of the card to support specific functions in the application.
82,Application Interchange Profile (AIP),Indicates the capabilities of the card to support specific functions in the application.
83,Command Template,Identifies the data field of a command message
83,Command Template,
84,Dedicated File (DF) Name,Identifies the name of the DF as described in ISO/IEC 7816-4
84,Dedicated File (DF) Name,Identifies the name of the DF as described in ISO/IEC 7816-4
84,Dedicated File (DF) Name,Identifies the name of the DF as described in ISO/IEC 7816-4
84,Dedicated File (DF) Name,
86,Issuer Script Command,Contains a command for transmission to the ICC
86,Issuer Script Command,
87,Application Priority Indicator,Indicates the priority of a given application or group of applications in a directory
87,Application Priority Indicator,Indicates the priority of a given application or group of applications in a directory
87,Application Priority Indicator,Indicates the priority of a given application or group of applications in a directory
87,Application Priority Indicator,Indicates the priority of a given application or group of applications in a directory
87,Application Priority Indicator,
88,Short File Identifier (SFI),Identifies the AEF referenced in commands related to a given ADF or DDF. It is a binary data object having a value in the range 1 to 30 and with the three high order bits set to zero.
88,Short File Identifier (SFI),Identifies the SFI to be used in the commands related to a given AEF.
88,Short File Identifier (SFI),
89,Authorisation Code,Nonzero value generated by the issuer for an approved transaction.
89,Authorisation Code,Non-zero value generated by the Authorisation Systems for an approved transaction.
89,Authorization Code,
8A,Authorisation Response Code (ARC),Indicates the transaction disposition of the transaction received from the issuer for online authorisations.
8A,Authorisation Response Code (ARC),Data element generated by the Issuer Host System or the Reader indicating the disposition of the transaction.
8A,Authorisation Response Code (ARC),Code that defines the disposition of a message. ARC must be present if the Kernel is restarted after an Online Request Outcome.
8A,Authorization Response Code (ARC),
8C,Card Risk Management Data Object List 1 (CDOL1),List of data objects (tag and length) to be passed to the ICC in the first GENERATE AC command
8C,Card Risk Management Data Object List 1 (CDOL1),List of data objects (tag and length) to be passed to the ICC in the first GENERATE AC command
8C,Card Risk Management Data Object List 1 (CDOL1),List of data objects (tag and length) to be passed to the ICC in the first GENERATE AC command
8C,Card Risk Management Data Object List 1 (CDOL1),
8D,Card Risk Management Data Object List 2 (CDOL2),List of data objects (tag and length) to be passed to the ICC in the second GENERATE AC command
8D,Card Risk Management Data Object List 2 (CDOL2),List of data objects (tag and length) to be passed to the ICC in the second GENERATE AC command
8D,Card Risk Management Data Object List 2 (CDOL2),
8E,Cardholder Verification Method (CVM) List,Identifies a method of verification of the cardholder supported by the application
8E,Cardholder Verification Method (CVM) List,Identifies a prioritised list of methods of verification of the cardholder supported by the card application.
8E,Cardholder Verification Method (CVM) List,Identifies a prioritised list of methods of verification of the cardholder supported by the card application.
8E,Cardholder Verification Method (CVM) List,
8F,Certification Authority Public Key Index (PKI),Identifies the certification authority's public key in conjunction with the RID
8F,Certification Authority Public Key Index (PKI),Identifies the Certificate Authority's public key in conjunction with the RID for use in offline data authentication.
8F,Certification Authority Public Key Index (PKI),Identifies the Certificate Authority's public key in conjunction with the RID for use in static data authentication.
8F,Certification Authority Public Key Index (PKI),Identifies the certification authority's public key in conjunction with the RID. Required for EMV Mode.
8F,Certification Authority Public Key Index (PKI),
90,Issuer Public Key Certificate,Issuer public key certified by a certification authority
90,Issuer Public Key Certificate,Issuer's public key certified by a certificate authority for use in offline data authentication.
90,Issuer Public Key Certificate,Issuer's public key certified by a certificate authority for use in static data authentication.
90,Issuer Public Key Certificate,Issuer public key certified by a certification authority
90,Issuer Public Key Certificate,
91,Issuer Authentication Data,Data sent to the ICC for online Issuer Authentication
91,Issuer Authentication Data,Issuer data transmitted to card for online Issuer authentication.
91,Issuer Authentication Data,Data sent to the ICC for online Issuer Authentication
91,Issuer Authentication Data,
92,Issuer Public Key Remainder,Remaining digits of the Issuer Public Key Modulus
92,Issuer Public Key Remainder,Portion of the Issuer Public Key Modulus which does not fit into the Issuer PK Certificate.
92,Issuer Public Key Remainder,Remaining digits of the Issuer's public key to be hashed.
92,Issuer Public Key Remainder,Remaining digits of the Issuer Public Key Modulus
92,Issuer Public Key Remainder,
93,Signed Static Application Data (SAD),Digital signature on critical application parameters that is used in static data authentication (SDA).
93,Signed Static Application Data (SAD),
94,Application File Locator (AFL),"Indicates the location (SFI range of records) of the Application Elementary Files associated with a particular AID, and read by the Kernel during a transaction."
94,Application File Locator (AFL),"Indicates the location (SFI, range of records) of the AEFs related to a given application."
94,Application File Locator (AFL),"Indicates the location (SFI, range of records) of the AEFs related to a given application."
94,Application File Locator (AFL),"Indicates the location (SFI, range of records) of the AEFs related to a given application."
94,Application File Locator (AFL),
95,Terminal Verification Results (TVR),Status of the different functions as seen from the terminal
95,Terminal Verification Results (TVR),Status of the different functions from the Terminal perspective. The Terminal Verification Results is coded according to Annex C.5 of [EMV Book 3].
95,Terminal Verification Results (TVR),"Status of the different functions as seen from the reader/terminal. For EMV mode transactions, all of the TVR bits sent online to the acquirer shall be set to 0b."
95,Terminal Verification Results (TVR),Status of the different functions as seen from the terminal.
95,Terminal Verification Results (TVR),Status of the different functions as seen from the terminal.
95,Terminal Verification Results (TVR),
97,Transaction Certificate Data Object List (TDOL),List of data objects (tag and length) to be used by the terminal in generating the TC Hash Value
98,Transaction Certificate (TC) Hash Value,"Result of a hash function specified in Book 2, Annex B3.1"
99,Transaction Personal Identification Number (PIN) Data,Data entered by the cardholder for the purpose of the PIN verification
9A,Transaction Date,Local date that the transaction was authorised
9A,Transaction Date,Local date that the transaction was performed.
9A,Transaction Date,Local date that the transaction was authorised
9A,Transaction Date,Local date that the transaction was authorised
9A,Transaction Date,Local date that the transaction was authorised. Requested in CDOL1.
9A,Transaction Date,
9B,Transaction Status Information (TSI),Indicates the functions performed in a transaction
9C,Transaction Type,"Indicates the type of financial transaction, represented by the first two digits of the ISO 8583:1987 Processing Code. The actual values to be used for the Transaction Type data element are defined by the relevant payment system"
9C,Transaction Type,"Indicates the type of financial transaction, represented by the first two digits of the ISO 8583:1993 Processing Code. The actual values to be used for the Transaction Type data element are defined by the relevant payment system."
9C,Transaction Type,"Indicates the type of transaction, represented by the values of the first two digits of Processing Code as defined by the payment system."
9C,Transaction Type,"Indicates the type of transaction, represented by the values of the first two digits of Processing Code as defined by the payment system."
9C,Transaction Type,"Indicates the type of financial transaction, represented by the first two digits of the ISO 8583:1987 Processing Code. Requested in CDOL1. Possible values are:"
,,- '00' for a purchase transaction
,,- '01' for a cash advance transaction
,,- '09' for a purchase with cashback
,,- '20' for a refund transaction
9C,Transaction Type,
9D,Directory Definition File (DDF) Name,Identifies the name of a DF associated with a directory
9F01,Acquirer Identifier,Uniquely identifies the acquirer within each payment system
9F01,Acquirer Identifier,Uniquely identifies the acquirer within each payment system
9F01,Acquirer Identifier,
9F02,"Amount, Authorised (Numeric)",Authorised amount of the transaction (excluding adjustments)
9F02,"Amount, Authorised (Numeric)","Authorised amount of the transaction (excluding adjustments). This amount is expressed with implicit decimal point corresponding to the minor unit of currency as defined by [ISO 4217] (for example the six bytes '00 00 00 00 01 23' represent USD 1.23 when the currency code is '840'). If the initial transaction amount needs to be replaced with a revised transaction amount, the Terminal must provide it before the chokepoint."
9F02,"Amount, Authorised (Numeric)","Authorised amount of the transaction (including Amount, Other and excluding adjustments)."
9F02,"Amount, Authorised (Numeric)",Authorised amount of the transaction (excluding adjustments).
9F02,"Amount, Authorised (Numeric)",Authorised amount of the transaction. Requested in CDOL1.
9F02,Authorised Amount (Numeric),
9F03,"Amount, Other (Numeric)",Secondary amount associated with the transaction representing a cashback amount
9F03,"Amount, Other (Numeric)",Secondary amount associated with the transaction representing a cash back amount. This amount is expressed with implicit decimal point corresponding to the minor unit of currency as defined by [ISO 4217] (for example the 6 bytes '00 00 00 00 01 23' represent GBP 1.23 when the currency code is '826').
9F03,"Amount, Other (Numeric)",Secondary amount associated with the transaction representing a cashback amount.
9F03,"Amount, Other (Numeric)",Secondary amount associated with the transaction representing a cashback amount.
9F03,"Amount, Other (Numeric)",Secondary amount associated with the transaction representing a cashback amount. Requested in CDOL1.
9F03,"Amount, Other (Numeric)",
9F04,"Amount, Other (Binary)",Secondary amount associated with the transaction representing a cashback amount
9F05,Application Discretionary Data,Issuer or payment system specified data relating to the application
9F06,"Application Identifier (AID), Terminal",Identifies the application as described in ISO/IEC 7816-5
9F06,"Application Identifier (AID), Terminal",Identifies the application as described in ISO/IEC 7816-5
9F07,Application Usage Control (AUC),Indicates issuer's specified restrictions on the geographic usage and services allowed for the application
9F07,Application Usage Control (AUC),Indicates issuer's specified restrictions on the geographic usage and services allowed for the card application.
9F07,Application Usage Control (AUC),Indicates issuer's specified restrictions on the geographic usage and services allowed for the card application.
9F07,Application Usage Control (AUC),Indicates issuer's specified restrictions on the geographic usage and services allowed for the card application.
9F07,Application Usage Control (AUC),
9F08,Application Version Number,Version number assigned by the payment system for the application in the Card
9F08,Application Version Number,Version number assigned by the Issuer for the application in the Card
9F08,"Application Version Number, Card",
9F09,Application Version Number,Version number assigned by the payment system for the Kernel application
9F09,"Application Version Number, Terminal",
9F0B,Cardholder Name - Extended,Indicates the whole cardholder name when greater than 26 characters using the same coding convention as in ISO 7813
9F0D,Issuer Action Code - Default,"Specifies the issuer's conditions that cause a transaction to be rejected if it might have been approved online, but the terminal is unable to process the transaction online"
9F0D,Issuer Action Code - Default,"Specifies conditions that cause a transaction to be declined if it might have been approved online, but the Reader is unable to process the transaction online."
9F0D,Issuer Action Code - Default,"Specifies the issuer's conditions that cause a transaction to be rejected if it might have been approved online, but the terminal is unable to process the transaction online"
9F0D,Issuer Action Code - Default,
9F0E,Issuer Action Code - Denial,Specifies the issuer's conditions that cause the denial of a transaction without attempt to go online
9F0E,Issuer Action Code - Denial,Specifies conditions that cause the decline of a transaction without attempting to go online.
9F0E,Issuer Action Code - Denial,Specifies the issuer's conditions that cause the denial of a transaction without attempt to go online
9F0E,Issuer Action Code - Denial,
9F0F,Issuer Action Code - Online,Specifies the issuer's conditions that cause a transaction to be transmitted online
9F0F,Issuer Action Code - Online,Specifies conditions that cause a transaction to be transmitted online.
9F0F,Issuer Action Code - Online,Specifies the issuer's conditions that cause a transaction to be transmitted online
9F0F,Issuer Action Code - Online,
9F10,Issuer Application Data (IAD),Contains proprietary application data for transmission to the issuer in an online transaction.
,,"Note: For CCD-compliant applications, Annex C, section C7 defines the specific coding of the Issuer Application Data (IAD). To avoid potential conflicts with CCD-compliant applications, it is strongly recommended that the IAD data element in an application that is not CCD-compliant should not use the coding for a CCD-compliant application."
9F10,Issuer Application Data (IAD),Contains proprietary application data for transmission to the issuer in an online transaction.
